id,name,label,wiki_url,city,country,founded,motto,students,type,website
408,"Đại học California, Berkeley",University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_California_t%E1%BA%A1i_Berkeley,,,23 tháng 3 năm 1868 ; 157 năm trước ( 1868-03-23 ),Fiat lux; (; Latinh; ); (Hãy có ánh sáng),,Công lập,www.berkeley.edu
410,Đại học Cao Ly,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Cao_Ly,Seongbuk-gu,Hàn Quốc,5 tháng 5 năm 1905 ; 120 năm trước ( 1905-05-05 ),"Libertas, Justitia, Veritas; 자유, 정의, 진리; (自由, 正義, 眞理); (Tự do, Chính nghĩa, Chân lý); [; 2; ]","29,757 (2019) [ 4 ]",Đại học tư thục,www.korea.edu; (Tiếng Anh); www.korea.ac.kr; (Tiếng Hàn)
411,Đại học California,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_California,,,"March 23, 1868 ; 157 năm trước ( March 23, 1868 )",Fiat lux ( Latin ),,Hệ thống đại học tiểu bang công lập,www .universityofcalifornia .edu
413,Đại học Karl tại Praha,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Charles_%E1%BB%9F_Praha,,,,,,,
416,Đại học Bắc Kinh,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_B%E1%BA%AFc_Kinh,,,1898,,,công lập,www.pku.edu.cn
417,"Đại học California, Los Angeles",University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_California%2C_Los_Angeles,,,"1881 , hơn 140 năm trước. Trở thành một phần của hệ thống UC vào năm 1919",Fiat lux; (; Latinh; ); (Hãy có ánh sáng),,Công lập,www.ucla.edu
419,Đại học Chiang Mai,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Chiang_Mai,,,1964,,,,http://www.cmu.ac.th
421,Đại học Carnegie Mellon,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Carnegie_Mellon,Pittsburgh,94333°T; ﻿ /; 40.44250; -79.94333,15 tháng 11 năm 1900 ; 124 năm trước ( 1900-11-15 ) [ 1 ],"""My heart is in the work"" – Andrew Carnegie","16,335 (2023) [ 4 ]",Đại học nghiên cứu tư thục,cmu .edu
425,Đại học Chulalongkorn,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Chulalongkorn,Pathum Wan,532097°Đ; ﻿ /; 13.738359; 100.532097,26 tháng 3 năm 1917 ; 108 năm trước ( 1917-03-26 ),เกียรติภูมิจุฬาฯ คือเกียรติแห่งการรับใช้ประชาชน (không chính thức) เสาหลักแห่งแผ่นดิน (vision statement),37.626 [ 2 ],Đại học công lập tự chủ,www; .chula; .ac; .th; www; .chula; .ac; .th; /en
426,Đại học Chicago,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Chicago,Chicago,59972°T; ﻿ /; 41.78972; -87.59972,1890 ; 135 năm trước ( 1890 ) [ 4 ],Crescat scientia; vita excolatur ( tiếng Latinh ),"18,452",Đại học nghiên cứu tư thục,uchicago .edu
427,Đại học Chiết Giang,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Chi%E1%BA%BFt_Giang,Tây Hồ,12083°Đ; ﻿ /; 30.26361; 120.12083,1897,求是创新 [ 1 ],60739 [ 2 ],Công lập,
428,Đại học Comenius,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Comenius,,,,,,,
429,Đại học Colgate,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Colgate,,,1819,Deo Ac Veritati ( For God and Truth ),,Tư,www .colgate .edu
430,Đại học Copenhagen,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Copenhagen,,,1479,Coelestem adspicit lucem ( Latin ),,Công lập,www.ku.dk/english/
433,Đại học Cornell,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Cornell,,,1865,"""Tôi sẽ thành lập một trường mà bất cứ người nào cũng có thể tìm thấy hướng dẫn về bất cứ ngành nào.""; –Ezra Cornell, 1865; [; 1; ]",,tư thục với 14 trường và cao đẳng.,www.cornell.edu
434,Đại học Cát Lâm,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_C%C3%A1t_L%C3%A2m,Trường Xuân,Trung Quốc,1946 ; 79 năm trước ( 1946 ),求实创新 励志图强 [ 1 ],,Đại học công lập,www .jlu .edu .cn
435,Đại học Complutense Madrid,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Complutense_Madrid,Madrid,Tây Ban Nha,20 tháng 5 năm 1293,"tiếng Latinh: Libertas Perfundet Omnia Luce (""Tự do mang ánh sáng tràn khắp vạn vật"")",,Đại học công lập,www .ucm .es
440,Đại học Columbia,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,Thành phố New York,96194°T; ﻿ /; 40.80750; -73.96194,25 tháng 5 năm 1754 ; 271 năm trước ( 1754-05-25 ),In lumine Tuo videbimus lumen ( tiếng Latinh ),"36,649 [ 6 ]",Đại học nghiên cứu tư thục,columbia .edu
441,Đại học Công giáo Hoa Kỳ,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_C%C3%B4ng_gi%C3%A1o_Hoa_K%E1%BB%B3,,,,,,,
445,Đại học Chung-Ang,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Chung-Ang,,,"Là trường mẫu giáo vào năm 1918, được cấp phép thành đại học năm 1953.","Sống trong sự thật, sống cho công lý",,Tư thục,neweng.cau.ac.kr; (Tiếng Anh); www.cau.ac.kr; (Tiếng Hàn Quốc)
446,Đại học Cambridge,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Cambridge,,,Khoảng năm 1209,"Hinc lucem et pocula sacra; (; tiếng Latinh; ); Dịch nghĩa:; Từ đây, ánh sáng và chén thánh; Hàm ý:; Từ nơi này chúng ta đạt được sự khai minh và tri thức quý giá",,Công lập,www.cam.ac.uk
449,Đại học Công nghiệp Cáp Nhĩ Tân,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_C%C3%B4ng_nghi%E1%BB%87p_C%C3%A1p_Nh%C4%A9_T%C3%A2n,Cáp Nhĩ Tân,Quảng Đông,1920 ; 105 năm trước ( 1920 ),规格严格，功夫到家,,Đại học công lập,hit; .edu; .cn; en; .hit; .edu; .cn
454,Đại học Damas,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Damascus,,,,,,,
458,Đại học Drexel,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Drexel,,,1891,"Khoa học, Công nghệ, Nghệ thuật",,công lập,www.drexel.edu
460,Đại học Delaware,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Delaware,Newark,Hoa Kỳ,1833 ; 192 năm trước ( 1833 ) (antecedent school founded 1743 and chartered 1769),Scientia Sol Mentis Est ( tiếng Latin ),24.120 (mùa Thu 2018) [ 3 ],trường đại học nghiên cứu tư thục - công lập,www .udel .edu
461,Đại học Bang Florida,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Bang_Florida,Tallahassee,298°T; ﻿ /; 30.442; -84.298,24 tháng 1 năm 1851; ;; 174 năm trước; (; 1851-01-24; ); [; note 1; ],"Vires, Artes, Mores ( Latinh )",43.701 (mùa thu 2023) [ 9 ],Công lập Đại học nghiên cứu,fsu .edu
465,Đại học Cần Thơ,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_C%E1%BA%A7n_Th%C6%A1,,,31 tháng 3 năm 1966 ; 59 năm trước ( 1966-03-31 ),Đồng thuận - Tận tâm - Chuẩn mực - Sáng tạo,,Đại học đa ngành hệ công lập định hướng đại học đa thành viên,
466,Đại học Dickinson,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Dickinson,,,1783,"Pietate et doctrina tuta libertas (Tín ngưỡng và giáo dục, thành trì bảo vệ tự do)",,"Tư thục , khai phóng",http://www.dickinson.edu/
470,Đại học Exeter,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Exeter,Exeter,534422°T; ﻿ /; 50.736509; -3.534422,1838 - St Luke's College; 1855 - Exeter School of Art; 1863 - Exeter School of Science; 1955 - University of Exeter (received; royal charter; ),tiếng Latinh : Lucem sequimur,23.613 (2018/19),công lập,exeter .ac .uk
472,Đại học Eötvös Loránd,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_E%C3%B6tv%C3%B6s_Lor%C3%A1nd,,,,,,,
473,Đại học Firenze,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Firenze,,,1321,,,State-supported,www.unifi.it
475,Trường Đại học Gadjah Mada,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Gadjah_Mada,,,,,,,
477,Đại học Genève,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Geneva,,,,,,,
479,Đại học Freiburg,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Freiburg,,,1457,"Die Wahrheit wird euch frei machen (""The Truth Will Set You free"")",,Đại học công lập,www.uni-freiburg.de
480,Đại học George Washington,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_George_Washington,Washington,Hoa Kỳ,9 tháng 2 năm 1821,tiếng Latinh : Deus Nobis Fiducia,27.159 (2016) [ 5 ],Tư thục,www .gwu .edu
481,Đại học Edinburgh,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Edinburgh,,,1582 (nhận sinh viên 1583) [ 1 ],,,Đại học công lập / Đại học cổ đại,www.ed.ac.uk
482,Đại học Gdańsk,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Gda%C5%84sk,Gdańsk,Ba Lan,20 tháng 3 năm 1970,In mari via tua (In sea your way),"27,200",,http://en.ug.edu.pl
484,Đại học Duke,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Duke,Durham,93889°T; ﻿ /; 36.00111; -78.93889,1838,Eruditio et Religio ( Tiếng Latinh ) [ 1 ],"14,832 (Thu 2016) [ 3 ]",Tư thục,
485,Đại học Giao thông Thượng Hải,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Giao_th%C3%B4ng_Th%C6%B0%E1%BB%A3ng_H%E1%BA%A3i,Thượng Hải,42972°Đ; ﻿ /; 31.20083; 121.42972; ﻿ (; Shanghai Jiao Tong University; ),1896 ; 129 năm trước ( 1896 ),饮水思源; (; Yǐnshuǐsīyuán; ); 爱国荣校; (; Àiguóróngxiào; ); [; 1; ],,Đại học công lập,sjtu .edu .cn en .sjtu .edu .cn
488,Đại học Giao thông Tây An,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Giao_th%C3%B4ng_T%C3%A2y_An,,,1896,精勤求学，敦笃励志，果毅力行，忠恕任事,,Đại học công lập chung cho nam và nữ,en .xjtu .edu .cn
490,Đại học Graz,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Graz,,,1585,,,Công lập,http://www.uni-graz.at
491,Đại học Groningen,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Groningen,,,1614,"Verbum domini lucerna pedibus nostris; (""The word of the Lord is a light for our feet"")",,State University,www.rug.nl
492,Đại học Goethe Frankfurt,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Goethe_Frankfurt,,,18 tháng 10 năm 1914 ( 1914-10-18 ) [ 1 ],,"46,325 (2019) [ 6 ]",Public,www .goethe-university-frankfurt .de
493,Đại học Glasgow,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Glasgow,,,1451,"Via, Veritas, Vita; (Con đường, Sự thật và Cuộc sống)",,Công lập,http://www.gla.ac.uk
494,Đại học Gothenburg,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Gothenburg,Göteborg,Thụy Điển,1891 ; 134 năm trước ( 1891 ),Tradita innovare innovata tradere,"53,624 (2023), [ 2 ] 28,462 ( FTE ) [ 2 ]",Đại học công lập,www .gu .se /en /
499,Đại học La Habana,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Havana,,,,,,,
500,Đại học Hamburg,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Hamburg,Hamburg,Đức,1919 ; 106 năm trước ( 1919 ),"Der Forschung, der Lehre, der Bildung","42,819 [ 2 ]",Đại học công lập,uni-hamburg .de
501,Đại học Greenwich,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Greenwich,Luân Đôn,006075°T; ﻿ /; 51.483372; -0.006075,1890; (; 1890; ); - Trường Bách khoa Woolwich; 1992 - Đại học,"tiếng Latinh : Discere, Agere, Conficere",(2019/20) [ 2 ],Đại học công lập,gre .ac .uk
505,Đại học Heidelberg,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Heidelberg,Heidelberg,Đức,18 tháng 10 năm 1386 ; 639 năm trước ( 1386-10-18 ),Semper apertus ( tiếng Latinh ) [ 4 ],"28,959 (SS2024) [ 7 ]",Đại học công lập,www .uni-heidelberg .de /en
508,Đại học Helsinki,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Helsinki,,,1640,,,Công,www.helsinki.fi/university
509,Đại học Hebrew của Jerusalem,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Hebrew_c%E1%BB%A7a_Jerusalem,,,1918,,,công lập,http://new.huji.ac.il/en
510,Đại học Cao Ly,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_H%C3%A0n_Qu%E1%BB%91c,,,,,,,
511,Đại học Nhà vua Luân Đôn,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Ho%C3%A0ng_%C4%91%E1%BA%BF_Lu%C3%A2n_%C4%90%C3%B4n,,,,,,,
514,Đại học Göttingen,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_G%C3%B6ttingen,Göttingen,Đức,1734 ; 291 năm trước ( 1734 ),In publica commoda ( tiếng Latinh ) [ 2 ],"30,200 (2020–2021) [ 5 ]",Đại học công lập,uni-goettingen .de
515,Đại học Howard,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Howard,,,tháng 3 năm 1867,Veritas et Utilitas ( Truth and Service ),,Tư nhân,www.howard.edu
516,Đại học Harvard,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Harvard,,,1636 [ 2 ],Veritas; [; 1; ]; (Chân lý),,Tư thục,Harvard .edu
518,Đại học Georgetown,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Georgetown,,,"23 tháng 1, 1789 [ 1 ]",Utraque Unum; (từ hai thành một),,Đại học nghiên cứu phi lợi nhuận tư thục thành lập bởi hiến chương quốc hội,georgetown .edu
519,Đại học Georgia,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Georgia,Athens,3745°T; ﻿ /; 33.9558; -83.3745,27 tháng 1 năm 1785 ; 240 năm trước ( 1785-01-27 ),tiếng Latinh : Et docere et rerum exquirere causas,40.118 (Thu 2021) [ 7 ],Đại học nghiên cứu được cấp đất công lập hàng đầu [ 1 ] [ 2 ],www .uga .edu
521,Đại học Hồng Kông,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_H%E1%BB%93ng_K%C3%B4ng,Bạc Phù Lâm,13778°Đ; ﻿ /; 22.28417; 114.13778,30 tháng 3 năm 1911 ; 114 năm trước ( 1911-03-30 ),Sapientia et Virtus; (; Latin; ); 明德格物 (; tiếng Trung; ),29.791 [ 2 ],Công lập,hku.hk
522,Đại học Dartmouth,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Dartmouth,,,Ngày 13 tháng 12 năm 1769,Vox clamantis in deserto; (Tiếng người hô trong hoang địa),,Tư,www.dartmouth.edu
530,Đại học Indonesia,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Indonesia,Jakarta,Indonesia [ a ],1924 (as 'RHS/; Rechts Hogeschool; and GHS/; Geneeskundige Hogeschool; ); 1947 (as; Universiteit van Indonesië; ); 1950 (as; Universiteit Indonesia; ),"Veritas, Probitas, Iustitia ( tiếng Latinh )",47.357 (năm học 2010) [ 1 ],Đại học công lập,www .ui .ac .id
531,Đại học Jagiellonia,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Jagiellonia,,,1364,Plus ratio quam vis; (; Let reason prevail over force; ),,công,http://www.uj.edu.pl/
537,Đại học Johns Hopkins,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Johns_Hopkins,Baltimore,62028°T; ﻿ /; 39.32889; -76.62028,22 tháng 2 năm 1876 ; 149 năm trước ( 1876-02-22 ),Veritas vos liberabit ( tiếng Latinh ),"30,549 (2022)",Đại học nghiên cứu tư thục,Bản mẫu:Official url
540,Đại học Istanbul,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Istanbul,Istanbul,95°Đ; ﻿ /; 41.00000; 28.95000,30 tháng 5 năm 1453 ; 572 năm trước ( 1453-05-30 ),tiếng Thổ Nhĩ Kỳ : Tarihten Geleceğe Bilim Köprüsü,58.809 [ 2 ],Đại học nghiên cứu công lập,www .istanbul .edu .tr
543,Đại học Khoa học và Kỹ thuật Hoa Trung,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_v%C3%A0_K%E1%BB%B9_thu%E1%BA%ADt_Hoa_Trung,,,,,,,
548,Đại học Keio,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Keio,,,1858,Calamvs gladio fortior; (; Latin; :; Ngòi bút sắc bén hơn đao kiếm; ),,Đại học tư thục,Đại học Keio
549,Đại học Kinh tế Quốc dân Plekhanov,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Kinh_t%E1%BA%BF_Qu%E1%BB%91c_d%C3%A2n_Plekhanov,,,1907,Phục vụ nước Nga!,,,http://rea.ru
552,Đại học Kansas,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Kansas,Lawrence,2478°T; ﻿ /; 38.9584; -95.2478,21 tháng 3 năm 1864 ; 161 năm trước ( 1864-03-21 ) [ 2 ],Videbo visionem hanc magnam quare non comburatur rubus ( tiếng Latinh ),"30,770 (kỳ thu năm 2025) [ b ] [ 7 ] [ 8 ]",District,www .ku .edu
558,Đại học Kỹ thuật Quốc gia Donetsk,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_K%E1%BB%B9_thu%E1%BA%ADt_Qu%E1%BB%91c_gia_Donetsk,,,1921,,,Đại học,Official website
560,Đại học Kyōto,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Kyoto,,,,,,,
561,Đại học Kỹ thuật Berlin,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_K%E1%BB%B9_thu%E1%BA%ADt_Berlin,Berlin,32639°Đ; ﻿ /; 52.51194; 13.32639,1770 (Königliche Bergakademie zu Berlin) 1799 (Königliche Bauakademie zu Berlin) 1879 (Königlich Technische Hochschule zu Berlin) 1946 as Technische Universität Berlin,Wir haben die Ideen für die Zukunft ( Tiếng Đức ),"35,570 [ 3 ]",Đại học công lập,www .tu .berlin
562,Đại học La Habana,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_La_Habana,,,1728,,,Công lập,www.uh.cu/
564,Đại học Kobe,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Kobe,,,1949,Liêm chính - Tự do - Hợp tác,,Đại học Quốc gia,www .kobe-u .ac .jp
565,Đại học Laval,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Laval,,,,,,,
566,Đại học Kỹ thuật München,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_K%E1%BB%B9_thu%E1%BA%ADt_M%C3%BCnchen,,,1868 ( 1868 ),Die unternehmerische Universität,41.000 (2017) [ 3 ],Công lập,www .tum .de
567,Đại học Leipzig,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Leipzig,,,1409,Aus Tradition Grenzen überschreiten,,công,www.uni-leipzig.de/
568,Đại học Latvia,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Latvia,,,1919,Scientiae et patriae ( Vì Khoa học và Tổ quốc ),,Đại học công lập,www.lu.lv
571,Đại học Leiden,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Leiden,,,1575,Libertatis Praesidium; (Pháo đài tự do),,Public,http://www.leiden.edu
572,Đại học Kỹ thuật Quốc gia Moskva Bauman,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_K%E1%BB%B9_thu%E1%BA%ADt_Qu%E1%BB%91c_gia_Moskva_Bauman,,,1830,"""Мужество, Воля, Труд, Упорство!""; ""Dũng cảm, Ý chí, Lao động, Kiên trì!""",,Đại học kỹ thuật,http://bmstu.ru/
574,Đại học Kyung Hee,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Kyung_Hee,Seoul và Suwon,Hàn Quốc,1949,"""학원의 민주화, 사상의 민주화, 생활의 민주화""; ""Dân chủ hóa học đường, dân chủ hóa tư tưởng, dân chủ hóa đời sống""; [; 1; ]",33.373 (2020) [ 2 ],Tư thục,
576,Đại học Linköping,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Link%C3%B6ping,,,1969/1975,,,Đại học công lập,www.liu.se
579,Đại học Luân Đôn,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_London,,,,,,,
580,Đại học Ludwig Maximilian München,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Ludwig_Maximilian_Munich,,,,,,,
581,Đại học Ljubljana,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Ljubljana,,,,,,,
585,Đại học Lisboa,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Lisboa,,,1911 (Đại học Lisboa); 2013 (hợp nhất trường Đại học Lisboa với Đại học Kỹ thuật Lisboa trước đây),de Lisboa para o Mundo (Từ Lisboa đến thế giới),,Đại học công lập,www .ulisboa .pt
589,Đại học Ludwig Maximilian München,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Ludwig_Maximilian_M%C3%BCnchen,,,1472 (tên gọi Đại học Ingolstadt cho đến 1802),,,Công lập,www .en .uni-muenchen .de
590,Đại học Luân Đôn,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Lu%C3%A2n_%C4%90%C3%B4n,,,1836,,,Công lập,london.ac.uk
591,Đại học Marburg,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Marburg,,,1 tháng 07 năm 1527,,,Đại học công lập,http://www.uni-marburg.de
595,Đại học Malta,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Malta,,,1769,Ut Fructificemus Deo; (; Latin; ),,Công cộng,www .um .edu .mt
596,Đại học Marmara,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Marmara,,,,,,,
597,Đại học Malaya,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Malaya,,,1949,"Ilmu Punca Kemajuan; ""Tri thức là chìa khóa thành công""",,Công lập,www.um.edu.my
598,Đại học Lund,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Lund,,,1666,Ad utrumque ( Prepared for both ) [ 1 ],,Public,http://www.lunduniversity.lu.se
599,Đại học Leeds,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Leeds,,,1904 - Đại học Leeds; 1887 - đạt được; trạng thái đại học; là một phần của; đại học Victoria; 1831 -; trường y Leeds,"tiếng Latinh; :; Et augebitur scientia; (""Và tri thức sẽ được tăng lên"")",,Công lập,www.leeds.ac.uk
600,Đại học Masaryk,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Masaryk,,,1919,,,Đại học công lập,www .muni .cz
603,Đại học McMaster,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_McMaster,,,23 tháng 4 năm 1887 [ 1 ],tiếng Hy Lạp; :; ΤΑ·ΠΑΝΤΑ·ΕΝ·ΧΡΙΣΤΩΙ·; ΣΥΝΕΣΤΗΚΕΝ; (All things cohere in Christ),,Đại học công lập,mcmaster.ca
604,Đại học Miami (Florida),University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Miami,,,,,,,
605,Đại học Milano,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Milan,,,,,,,
606,Viện Đại học Minnesota,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Minnesota,,,,,,,
609,Đại học Milano,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Milano,,,1924,,,chính phủ hỗ trợ,www.unimi.it/
613,Đại học Quốc gia Moskva,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Moskva,,,,,,,
